geoid,geoid20,year,denom_totalarea,existing_canopy_count,existing_canopy_pct,possible_canopy_count,possible_canopy_pct
1400000US06037113424,6037113424,2016,18735592,3568808.25,19.048281,8056818,43.002739
1400000US06037113425,6037113425,2016,3645425.25,396889.5625,10.887332,1622603.5,44.510677
1400000US06037113426,6037113426,2016,20041548,2181990,10.887333,8920629,44.510677
1400000US06037113427,6037113427,2016,2791123.75,639639.75,22.916925,1128870,40.445
1400000US06037113428,6037113428,2016,13675684,3134046.25,22.916925,5531130,40.444996
1400000US06037115101,6037115101,2016,41773232,12437100,29.772894,16412625,39.289814
1400000US06037115103,6037115103,2016,16500973,2731721,16.554909,9357364,56.707954
1400000US06037115104,6037115104,2016,10885936,3048173.5,28.001024,4228537.5,38.84404
1400000US06037115202,6037115202,2016,18714854,3487387.5,18.634329,8368425,44.715416
1400000US06037115203,6037115203,2016,6463873,1378444.625,21.325367,2635815,40.777641
1400000US06037115204,6037115204,2016,8280363.5,1765817.875,21.325367,3376536.75,40.777637
1400000US06037115301,6037115301,2016,17667210,4331967,24.519814,7133512.5,40.377132
1400000US06037115302,6037115302,2016,9010350,1344459.375,14.921278,4339462.5,48.160866
1400000US06037115401,6037115401,2016,20507484,6146662.5,29.972776,8344322,40.689156
1400000US06037115403,6037115403,2016,7571095.5,1285650,16.98103,3152672,41.640896
1400000US06037115404,6037115404,2016,10281923,1875051.5,18.236389,4572169,44.468033
1400000US06037117101,6037117101,2016,8417236,1606767.25,19.089012,3566503,42.371426
1400000US06037117102,6037117102,2016,11177888,3031481.25,27.12034,5132517,45.916698
1400000US06037117201,6037117201,2016,8491402,1792954.75,21.114944,3516286,41.409958
1400000US06037117202,6037117202,2016,19531740,3324029,17.018602,10548564,54.007294
1400000US06037117301,6037117301,2016,14399550,2794148.5,19.404415,6289579.5,43.679001
1400000US06037117302,6037117302,2016,22050210,4185000,18.97941,9626709,43.658127
1400000US06037117303,6037117303,2016,19351898,3500873.5,18.090595,9531647,49.254326
1400000US06037117404,6037117404,2016,19003304,3965625,20.868082,8359847,43.991547
1400000US06037117405,6037117405,2016,2181501.5,171576.5625,7.8650675,823598.4375,37.753742
1400000US06037117407,6037117407,2016,2143251.5,180267.1875,8.4109211,968695.3125,45.197464
1400000US06037117408,6037117408,2016,4052643.75,551390.625,13.605701,1942312.5,47.927048
1400000US06037117510,6037117510,2016,3603867.25,682354.6875,18.933958,1473187.5,40.877964
1400000US06037117520,6037117520,2016,3480567.25,566606.25,16.279135,1323562.5,38.027206
1400000US06037117530,6037117530,2016,6006895.5,848714.0625,14.128997,2775825,46.210644
1400000US06037119001,6037119001,2016,11321016,2256145.25,19.928823,4883540.5,43.136944
1400000US06037119003,6037119003,2016,9126751,1723290.5,18.881752,3788109.5,41.505566
1400000US06037119004,6037119004,2016,9136908.390625,1722688.501464844,18.854174,3794043.349609375,41.524368
1400000US06037119201,6037119201,2016,10238527,2146134.5,20.961359,4517128,44.118923
1400000US06037119202,6037119202,2016,10423294,1886062.5,18.094688,4428773.5,42.489193
1400000US06037119310,6037119310,2016,4595338.5,928656.4375,20.208662,1877671.375,40.860348
1400000US06037119320,6037119320,2016,5305978,1314675,24.777243,2098954.75,39.5583
1400000US06037119340,6037119340,2016,1315167.25,150173.4375,11.418581,415659.375,31.605059
1400000US06037119341,6037119341,2016,3524708.25,676915.125,19.204855,1547395.25,43.901371
1400000US06037119342,6037119342,2016,2358028,399459.375,16.940399,918689.0625,38.960056
1400000US06037119400,6037119400,2016,12051464,2748065.5,22.802752,4947764,41.055294
1400000US06037119700,6037119700,2016,14172497,3070828,21.667515,5895703,41.599606
1400000US06037119801,6037119801,2016,6590151.5,1296741,19.676952,2790061.75,42.336838
1400000US06037119802,6037119802,2016,6777296,1333565.375,19.676954,2869293,42.336842
1400000US06037119900,6037119900,2016,11265638,2547970.25,22.617186,4375448.5,38.838886
1400000US06037120010,6037120010,2016,6072792,1184737.5,19.508942,2680087.5,44.132706
1400000US06037120020,6037120020,2016,5711961.5,755972.9375,13.23491,2543063.75,44.521725
1400000US06037120030,6037120030,2016,4045444.765625,466184.888671875,11.523699,1792503.484375,44.309181
1400000US06037120103,6037120103,2016,1519948,145194.859375,9.5526199,507521.125,33.39069
1400000US06037120104,6037120104,2016,4874808,504337.5,10.345792,2353626.5,48.281418
1400000US06037120105,6037120105,2016,5901398.5,1067779.75,18.093674,2507315.5,42.486801
1400000US06037120106,6037120106,2016,2210864,357581.25,16.173824,739814.0625,33.462666
1400000US06037120107,6037120107,2016,2217276.5,394031.25,17.770956,788273.4375,35.551426
1400000US06037120108,6037120108,2016,4165397,806681.25,19.366251,1718170.25,41.248653
1400000US06037120300,6037120300,2016,18436008,4127090.5,22.386032,7059740.5,38.293217
1400000US06037120400,6037120400,2016,11388248,2058595.25,18.076488,4396359.5,38.604355
1400000US06037121010,6037121010,2016,21870900,3099979.75,14.173992,11722852,53.600227
1400000US06037121020,6037121020,2016,8847029,1647158.625,18.618212,3892926.25,44.00264
1400000US06037121101,6037121101,2016,5082314,806751.5625,15.873706,1998309.375,39.31889
1400000US06037121102,6037121102,2016,80482776,5724327.5,7.1124878,61166784,75.999847
1400000US06037121210,6037121210,2016,21747642,2124569.25,9.7691936,14359543,66.028046
1400000US06037121221,6037121221,2016,5345493,1109620.125,20.758051,1989373.375,37.2159
1400000US06037121222,6037121222,2016,14407551,1997914.25,13.867133,6726101,46.684555
1400000US06037121600,6037121600,2016,12273356,1828195.25,14.895642,5098711,41.542923
1400000US06037121801,6037121801,2016,5227903,902095.3125,17.255396,2115000,40.45599
1400000US06037121802,6037121802,2016,10228528,1383257.75,13.523527,4729106,46.234474
1400000US06037121900,6037121900,2016,18109772,1867387.5,10.311491,10432083,57.604717
1400000US06037122000,6037122000,2016,34955584,3647949,10.435955,18883512,54.021446
1400000US06037122120,6037122120,2016,7735472,1408317.25,18.205963,3174272,41.035271
1400000US06037122121,6037122121,2016,4433794,948881.25,21.401114,1746787.5,39.397129
1400000US06037122122,6037122122,2016,11110458,1284750,11.56343,6143667,55.296253
1400000US06037122200,6037122200,2016,18309824,1946756.25,10.632304,8357779.5,45.646423
1400000US06037122410,6037122410,2016,7599304.5,631068.75,8.3042965,3873389,50.97031
1400000US06037122420,6037122420,2016,9283669,1264992.25,13.625995,3994973.5,43.032269
1400000US06037123010,6037123010,2016,10922245,1181123.5,10.813926,5649694,51.72649
1400000US06037123020,6037123020,2016,6080062.5,1162996.875,19.128042,2424417.25,39.874874
1400000US06037123103,6037123103,2016,9698288,1467030,15.126691,4420647,45.581726
1400000US06037123104,6037123104,2016,8389125,1597584.375,19.043516,3601575,42.931473
1400000US06037123203,6037123203,2016,6309239,766771.875,12.153159,2692068.75,42.668674
1400000US06037123204,6037123204,2016,3488006.25,663665.625,19.027077,1289264,36.962776
1400000US06037123205,6037123205,2016,8155631,902221.875,11.062564,3491859.5,42.815319
1400000US06037123206,6037123206,2016,6489576.5,627707.8125,9.672554,2985707.75,46.007744
1400000US06037123301,6037123301,2016,14028894,1971941.875,14.056289,7320557,52.181995
1400000US06037123303,6037123303,2016,6820200,1078396.875,15.811808,2825507.75,41.428516
1400000US06037123304,6037123304,2016,9453586,1573706.25,16.64666,3958987.5,41.878155
1400000US06037123410,6037123410,2016,5328365.5,922443.75,17.311945,2124801.5,39.877171
1400000US06037123420,6037123420,2016,8474850,1467337.5,17.314024,3735717.25,44.08004
1400000US06037123510,6037123510,2016,8603550,1962548.5,22.810915,3307457.75,38.442944
1400000US06037123520,6037123520,2016,5504779.5,1323745.25,24.047199,2132564,38.740227
1400000US06037123601,6037123601,2016,16495636,3304968.75,20.035412,7774608,47.131302
1400000US06037123602,6037123602,2016,9990098,3096393.75,30.994629,3248620.25,32.518402
1400000US06037123700,6037123700,2016,10250620,2264906.25,22.09531,3643073.5,35.540031
1400000US06037123800,6037123800,2016,13906828,3466378,24.925728,4582983,32.954914
1400000US06037123901,6037123901,2016,13906663,2657888,19.112335,5860466,42.141426
1400000US06037123902,6037123902,2016,7097372,1783082.75,25.12314,2197490.5,30.96203
1400000US06037124000,6037124000,2016,14496736,4308736,29.722111,4677061,32.262856
1400000US06037124102,6037124102,2016,6986264,1445020.25,20.683733,2547829.75,36.469131
1400000US06037124103,6037124103,2016,3486797,677770.3125,19.438192,1367395.25,39.21637
1400000US06037124104,6037124104,2016,3492197,647732.8125,18.548004,1409470.25,40.360561
1400000US06037124105,6037124105,2016,3492886,613350,17.559978,1395140.625,39.942345
1400000US06037124201,6037124201,2016,10467998,1937236,18.506269,4868901.5,46.512253
1400000US06037124203,6037124203,2016,3493251.5,695910.9375,19.921581,1377759.375,39.440601
1400000US06037124204,6037124204,2016,3489117.25,568743.75,16.300505,1381500,39.594543
1400000US06037124300,6037124300,2016,9587686,1749853.125,18.251047,4248408,44.311089
1400000US06037124400,6037124400,2016,10475325,2348282.75,22.417278,3996534.5,38.15189
1400000US06037124500,6037124500,2016,8702184,2681522,30.814356,2570357.75,29.536926
1400000US06037124600,6037124600,2016,12033661,3008011,24.996641,4307794,35.797867
1400000US06037124700,6037124700,2016,14674767,3782165.5,25.773258,4612978,31.434761
1400000US06037124902,6037124902,2016,3651145.25,629971.875,17.254089,1187353.125,32.52002
1400000US06037124903,6037124903,2016,3333403,499626.5625,14.988483,1075992.25,32.279095
1400000US06037125101,6037125101,2016,6991954,1925277.125,27.535608,2236090,31.980902
1400000US06037125102,6037125102,2016,6983569,1922968.25,27.535608,2233408.5,31.980904
1400000US06037125200,6037125200,2016,13970981,4001400,28.640795,4940690.5,35.363949
1400000US06037125310,6037125310,2016,11333677,1504987,13.278894,4972002.5,43.869282
1400000US06037125321,6037125321,2016,2799687,329765.1875,11.778645,1051641.375,37.56282
1400000US06037125322,6037125322,2016,4030483.5,474736.375,11.778646,1513963.25,37.56282
1400000US06037125402,6037125402,2016,7852820.25,1853332.0078125,23.600845,2278822.8125,29.019165
1400000US06037125403,6037125403,2016,1812447.25,177472.234375,9.7918568,574015.9375,31.670767
1400000US06037125404,6037125404,2016,2470273,241885.578125,9.7918558,782354.375,31.670765
1400000US06037125501,6037125501,2016,4999683,1140328.125,22.808008,1658151.5,33.165134
1400000US06037125502,6037125502,2016,5634858,1308332.75,23.218557,1670737.5,29.650038
1400000US06037125600,6037125600,2016,10963210,3368729.75,30.727585,3435337.75,31.335146
1400000US06037127102,6037127102,2016,9201614,1386000,15.062575,4636603,50.389019
1400000US06037127103,6037127103,2016,3078393.75,464554.6875,15.090815,1298207.75,42.171597
1400000US06037127104,6037127104,2016,7641900,1434923.5,18.777052,3611967.25,47.265305
1400000US06037127210,6037127210,2016,16564205,1998759.375,12.066739,7252467,43.783974
1400000US06037127220,6037127220,2016,7012294,1383750,19.7332,2693137.5,38.405941
1400000US06037127300,6037127300,2016,11495798,2326697,20.239544,4703358,40.913715
1400000US06037127400,6037127400,2016,23369992,2548496.25,10.904994,9391693,40.186977
1400000US06037127520,6037127520,2016,3928697,249032.8125,6.3388143,1685320.25,42.89769
1400000US06037127603,6037127603,2016,4661120.5,939258,20.150906,1664106.375,35.701851
1400000US06037127604,6037127604,2016,4677311.5,1064782.375,22.764837,1562701.75,33.410255
1400000US06037127605,6037127605,2016,6980920.5,1345176.5,19.269329,3593334.5,51.473648
1400000US06037127606,6037127606,2016,5863671,1380799,23.54837,1933040.125,32.966381
1400000US06037127711,6037127711,2016,10154784,2707720.25,26.664478,4006448.5,39.453804
1400000US06037127712,6037127712,2016,6090694,1546396.875,25.389502,2322182.75,38.126736
1400000US06037127803,6037127803,2016,6915133.5,1428536.75,20.658123,2581827.75,37.335907
1400000US06037127804,6037127804,2016,6868884.5,1347651.5,19.619656,2668176.5,38.844395
1400000US06037127805,6037127805,2016,6614156,1382976.5,20.909342,2612657.75,39.500999
1400000US06037127806,6037127806,2016,7352733,1638478.125,22.283934,2944350,40.044292
1400000US06037127910,6037127910,2016,6992606,1318598.5,18.85704,2831639,40.494759
1400000US06037127920,6037127920,2016,6981679.5,1759078.125,25.195629,2426217.25,34.751198
1400000US06037128101,6037128101,2016,6984281,1906917.25,27.302986,2326654.75,33.312733
1400000US06037128102,6037128102,2016,6983873.5,1606275,22.999773,2506162.5,35.884995
1400000US06037128210,6037128210,2016,5919075,1026857.8125,17.348282,2105479.75,35.571095
1400000US06037128220,6037128220,2016,5982820.5,1687457.75,28.205053,2022679.75,33.808132
1400000US06037128302,6037128302,2016,7414312.5,1201767.25,16.208748,3108304.75,41.923035
1400000US06037128303,6037128303,2016,4455647,663145.3125,14.883255,1609551.5,36.123856
1400000US06037128400,6037128400,2016,18524068,3042478,16.424459,7707923.5,41.610317
1400000US06037128500,6037128500,2016,10513252,2597498.5,24.706898,3443934.5,32.758034
1400000US06037128601,6037128601,2016,7336139,1582804.75,21.575447,2643511,36.034092
